104 1412
1 2 14
2 3 14
3 4 1
4 5 5
5 6 11
6 7 1
7 8 10
8 9 20
9 10 1
10 11 14
11 12 16
12 13 14
13 14 3
14 15 2
15 16 1
16 17 3
17 18 14
18 19 2
19 20 20
20 21 7
21 22 6
22 23 18
23 24 4
24 25 10
25 26 19
26 27 20
27 28 11
28 29 9
29 30 13
30 31 6
31 32 11
32 33 6
33 34 20
34 35 3
35 36 10
36 37 2
37 38 3
38 39 11
39 40 14
40 41 16
41 42 16
42 43 9
43 44 9
44 45 18
45 46 3
46 47 1
47 48 20
48 49 8
49 50 2
50 51 19
51 52 14
52 53 20
53 54 8
54 55 18
55 56 9
56 57 7
57 58 9
58 59 12
59 60 15
60 61 1
61 62 17
62 63 17
63 64 19
64 65 8
65 66 20
66 67 20
67 68 2
68 69 14
69 70 11
70 71 15
71 72 9
72 73 6
73 74 15
74 75 9
75 76 4
76 77 17
77 78 10
78 79 15
79 80 17
80 81 11
81 82 6
82 83 10
83 84 10
84 85 13
85 86 19
86 87 11
87 88 11
88 89 20
89 90 2
90 91 6
91 92 20
92 93 18
93 94 2
94 95 10
95 96 18
96 97 13
97 98 10
98 99 19
99 100 7
100 101 12
101 102 5
102 103 15
103 104 17
83 24 12
12 45 19
96 67 16
93 29 20
56 91 11
87 84 8
98 85 1
32 26 14
85 96 12
60 96 18
52 51 13
16 62 17
78 53 4
81 17 12
68 72 10
46 54 9
53 24 9
11 3 15
2 50 10
74 23 13
32 81 16
85 5 11
61 21 2
1 69 3
46 98 11
99 17 12
24 47 18
26 57 11
51 102 4
73 95 7
92 22 19
24 83 3
92 12 11
56 58 17
25 29 15
18 8 6
64 77 15
97 43 13
94 83 17
84 13 13
82 104 4
60 94 17
74 81 4
89 8 2
45 9 14
75 26 17
24 89 17
102 57 19
102 47 5
70 2 10
26 59 13
85 14 10
78 64 19
33 48 6
46 68 10
87 38 15
87 61 16
59 34 8
74 7 2
42 76 20
79 78 2
35 58 20
37 7 7
15 40 2
80 85 13
26 44 6
20 26 10
79 85 7
67 30 5
76 47 16
87 22 9
53 32 3
32 68 9
26 58 20
67 34 17
71 35 8
88 54 5
61 5 1
43 71 2
31 18 17
70 1 10
83 53 17
25 60 1
77 85 6
41 47 11
65 13 5
28 100 3
16 32 3
41 50 1
94 80 10
90 21 10
3 103 2
28 23 17
16 76 1
61 12 15
12 76 3
100 79 10
10 70 5
28 6 18
68 100 13
46 85 6
23 64 16
29 91 15
13 82 14
58 38 13
44 25 8
43 101 6
12 6 3
93 10 13
38 53 4
15 98 16
36 97 19
7 21 17
25 9 14
94 66 16
46 86 20
73 24 4
74 11 2
17 103 15
69 13 3
92 27 9
71 38 9
10 44 9
14 45 13
20 34 7
15 56 4
58 24 19
57 71 2
56 77 2
68 7 17
94 35 7
27 55 16
86 90 4
81 100 10
71 51 5
24 50 3
73 19 11
39 84 14
91 89 9
98 81 14
4 40 8
35 87 18
81 44 15
48 100 10
57 66 20
89 66 2
87 34 8
14 49 20
99 11 12
44 4 1
33 88 8
49 18 2
6 74 10
28 98 17
22 26 19
65 11 16
54 73 13
62 86 17
1 57 8
52 76 11
56 4 10
75 52 19
77 33 17
98 37 18
10 58 15
68 18 9
87 48 18
12 85 7
88 85 7
71 32 2
34 64 18
83 34 13
102 86 6
10 79 10
95 65 19
101 4 8
94 67 3
55 78 11
77 61 3
52 4 19
77 37 10
26 95 15
83 92 1
68 77 11
65 67 19
7 62 13
73 77 19
7 82 10
58 85 8
31 97 17
32 88 3
90 51 3
62 13 2
88 3 5
70 65 17
38 13 7
59 35 2
13 8 7
85 66 19
13 49 2
102 75 4
27 98 9
15 36 5
18 12 2
58 97 8
70 87 18
104 4 18
8 83 19
50 39 20
21 51 4
102 25 10
49 27 8
58 41 7
50 34 2
87 91 14
34 56 13
64 32 12
81 39 10
67 64 17
14 84 15
9 81 11
55 2 5
70 59 6
40 84 7
77 42 18
3 76 9
15 11 16
6 91 6
80 30 10
88 43 17
18 28 2
53 58 7
33 23 13
30 38 8
37 10 1
54 92 12
78 82 10
54 88 5
43 63 14
72 22 20
