159 10197
1 2 5
2 3 14
3 4 19
4 5 7
5 6 11
6 7 8
7 8 3
8 9 12
9 10 2
10 11 8
11 12 4
12 13 11
13 14 4
14 15 12
15 16 2
16 17 6
17 18 20
18 19 13
19 20 3
20 21 14
21 22 15
22 23 20
23 24 10
24 25 3
25 26 5
26 27 10
27 28 19
28 29 9
29 30 17
30 31 5
31 32 5
32 33 14
33 34 10
34 35 16
35 36 20
36 37 12
37 38 3
38 39 3
39 40 3
40 41 4
41 42 10
42 43 7
43 44 14
44 45 5
45 46 10
46 47 8
47 48 10
48 49 1
49 50 12
50 51 13
51 52 14
52 53 6
53 54 4
54 55 15
55 56 20
56 57 8
57 58 5
58 59 18
59 60 16
60 61 13
61 62 3
62 63 12
63 64 6
64 65 12
65 66 7
66 67 6
67 68 4
68 69 1
69 70 20
70 71 18
71 72 4
72 73 1
73 74 16
74 75 10
75 76 5
76 77 17
77 78 9
78 79 15
79 80 18
80 81 20
81 82 19
82 83 11
83 84 17
84 85 2
85 86 18
86 87 16
87 88 9
88 89 14
89 90 13
90 91 16
91 92 6
92 93 7
93 94 7
94 95 12
95 96 19
96 97 6
97 98 9
98 99 14
99 100 6
100 101 8
101 102 3
102 103 2
103 104 20
104 105 19
105 106 11
106 107 4
107 108 15
108 109 11
109 110 18
110 111 12
111 112 10
112 113 16
113 114 15
114 115 18
115 116 17
116 117 12
117 118 13
118 119 17
119 120 17
120 121 5
121 122 12
122 123 2
123 124 12
124 125 11
125 126 5
126 127 2
127 128 16
128 129 13
129 130 7
130 131 13
131 132 12
132 133 9
133 134 14
134 135 11
135 136 7
136 137 16
137 138 7
138 139 14
139 140 6
140 141 4
141 142 5
142 143 7
143 144 12
144 145 11
145 146 4
146 147 20
147 148 14
148 149 8
149 150 9
150 151 10
151 152 13
152 153 12
153 154 12
154 155 16
155 156 2
156 157 8
157 158 9
158 159 9
148 29 14
16 5 7
89 60 15
68 63 20
27 139 19
14 16 14
103 92 2
10 66 6
39 10 13
28 3 1
143 150 7
21 92 1
143 106 14
143 99 8
76 125 11
66 65 4
77 8 18
125 102 14
94 140 13
89 8 12
54 77 10
132 23 16
129 91 8
112 74 4
82 76 8
117 141 14
8 58 2
76 108 12
49 42 11
32 56 18
28 35 20
88 7 18
7 136 4
115 14 10
78 21 17
91 138 7
9 71 20
19 146 19
130 36 19
147 152 2
13 20 10
40 33 3
16 39 16
156 154 19
136 157 19
118 88 7
81 96 6
112 114 16
7 10 20
29 156 14
32 95 1
69 134 19
113 75 14
59 71 15
103 133 5
9 17 3
136 23 6
101 134 15
53 141 1
124 95 19
103 126 13
111 35 14
67 74 1
147 132 7
146 76 11
69 84 5
78 145 11
24 13 13
8 150 16
87 114 19
3 142 15
13 94 17
8 1 16
152 73 11
134 145 7
14 54 7
155 57 17
158 80 3
136 14 4
21 26 16
159 28 15
30 125 3
21 132 10
84 51 8
120 110 13
157 123 17
21 76 3
100 45 16
39 5 17
64 4 15
17 59 20
141 134 1
40 135 1
16 134 20
125 119 8
14 82 3
58 102 6
100 43 3
44 7 12
94 71 20
144 87 11
149 154 8
100 119 6
19 55 9
137 133 14
60 21 12
2 143 12
129 76 8
136 99 11
132 124 1
144 134 18
138 44 7
23 88 9
82 107 9
106 84 17
70 143 11
90 71 18
136 40 20
151 101 13
100 73 17
34 58 12
41 121 5
148 144 4
155 151 5
131 24 2
7 93 7
61 108 15
25 10 13
64 1 14
42 27 12
154 145 5
156 111 18
128 99 17
28 94 14
34 151 10
49 157 10
133 143 14
128 8 4
89 71 1
150 38 14
124 33 8
82 114 8
75 82 6
63 35 8
42 68 4
45 117 14
139 16 9
108 144 13
87 73 11
66 148 1
156 112 5
157 119 2
24 34 19
1 22 1
72 64 10
59 108 13
129 13 16
23 121 4
9 48 10
66 39 7
2 120 18
54 117 9
146 140 7
2 67 10
51 138 2
93 122 17
93 17 12
34 39 13
118 48 7
41 39 2
37 40 7
144 20 5
52 6 8
5 7 20
53 142 1
90 76 14
75 94 18
72 127 19
116 11 11
132 136 4
28 13 9
42 156 20
14 134 2
129 80 15
112 87 9
113 141 11
47 53 4
14 4 10
24 12 7
85 133 5
97 61 1
19 92 10
78 55 18
141 110 17
97 62 4
142 15 17
113 146 10
156 159 10
154 108 13
136 33 10
60 55 16
111 73 14
100 151 12
66 132 2
110 155 19
8 63 17
46 17 13
136 13 14
156 92 8
28 69 13
32 54 11
108 5 18
116 31 2
19 22 4
117 131 15
42 138 19
141 109 17
151 86 13
2 82 20
44 109 1
45 140 4
99 88 8
67 129 4
111 74 5
54 31 12
150 72 3
76 138 16
92 130 11
46 57 6
92 100 17
131 144 5
139 84 7
78 76 14
131 113 11
47 7 11
19 82 13
54 84 4
39 101 6
109 147 8
27 5 2
53 135 15
60 115 19
6 118 11
80 15 3
143 61 11
87 5 9
29 144 16
109 23 12
84 58 4
116 84 8
14 63 20
55 122 8
106 53 19
158 132 17
4 41 17
