158 3084
1 2 16
2 3 8
3 4 5
4 5 12
5 6 8
6 7 4
7 8 7
8 9 8
9 10 2
10 11 4
11 12 6
12 13 4
13 14 13
14 15 20
15 16 1
16 17 9
17 18 1
18 19 20
19 20 10
20 21 6
21 22 15
22 23 5
23 24 1
24 25 8
25 26 16
26 27 19
27 28 18
28 29 20
29 30 6
30 31 11
31 32 11
32 33 2
33 34 11
34 35 16
35 36 5
36 37 10
37 38 19
38 39 4
39 40 17
40 41 12
41 42 7
42 43 15
43 44 15
44 45 12
45 46 6
46 47 15
47 48 20
48 49 6
49 50 15
50 51 1
51 52 3
52 53 1
53 54 5
54 55 3
55 56 9
56 57 13
57 58 2
58 59 18
59 60 4
60 61 7
61 62 1
62 63 15
63 64 20
64 65 11
65 66 2
66 67 17
67 68 20
68 69 12
69 70 20
70 71 9
71 72 4
72 73 6
73 74 15
74 75 10
75 76 9
76 77 20
77 78 5
78 79 9
79 80 18
80 81 11
81 82 9
82 83 20
83 84 11
84 85 6
85 86 3
86 87 11
87 88 10
88 89 16
89 90 9
90 91 13
91 92 2
92 93 9
93 94 19
94 95 14
95 96 11
96 97 20
97 98 10
98 99 2
99 100 12
100 101 9
101 102 2
102 103 7
103 104 6
104 105 16
105 106 16
106 107 15
107 108 8
108 109 20
109 110 15
110 111 5
111 112 2
112 113 3
113 114 16
114 115 13
115 116 20
116 117 10
117 118 3
118 119 9
119 120 5
120 121 3
121 122 2
122 123 19
123 124 3
124 125 20
125 126 12
126 127 13
127 128 12
128 129 13
129 130 7
130 131 15
131 132 1
132 133 8
133 134 1
134 135 18
135 136 4
136 137 8
137 138 4
138 139 3
139 140 20
140 141 18
141 142 19
142 143 1
143 144 13
144 145 14
145 146 5
146 147 12
147 148 16
148 149 8
149 150 1
150 151 20
151 152 10
152 153 14
153 154 10
154 155 13
155 156 5
156 157 13
157 158 17
68 55 3
38 9 11
148 5 6
52 150 8
23 12 6
103 90 11
156 93 6
57 157 18
8 50 19
4 109 12
53 18 8
145 56 17
51 99 3
28 46 4
81 68 11
116 67 2
137 118 17
138 16 19
117 77 7
46 81 19
1 29 18
10 15 19
82 120 14
54 147 1
18 124 9
147 60 5
106 8 5
121 112 1
93 58 16
69 112 14
97 80 12
8 156 5
127 15 1
11 28 20
134 54 1
57 42 16
11 147 7
103 5 9
50 97 8
145 8 18
137 158 5
34 61 2
12 29 5
44 40 8
93 69 11
84 125 6
79 32 2
136 30 12
42 79 18
59 120 17
30 152 3
80 27 17
24 38 18
36 136 5
21 70 13
9 49 18
38 24 19
109 55 16
26 96 3
147 154 6
14 26 11
38 1 9
122 78 16
131 113 1
75 29 15
88 37 17
121 128 16
27 78 10
120 157 19
30 146 11
59 1 2
27 92 16
75 55 12
57 82 8
119 52 9
43 139 19
120 155 9
115 23 10
111 39 3
151 122 8
29 23 2
144 49 7
156 20 11
87 76 20
26 90 2
152 133 8
53 148 17
81 104 17
28 110 5
132 103 3
15 27 7
56 13 19
84 64 8
9 150 13
68 71 3
21 65 15
9 117 14
97 39 7
157 66 17
98 94 13
56 4 13
140 60 11
10 39 2
112 47 9
26 11 20
30 85 2
8 93 18
29 85 4
100 138 13
18 77 8
92 132 16
138 9 9
147 72 13
6 25 12
69 105 4
44 134 6
137 38 3
30 66 5
15 61 18
65 78 18
1 65 15
29 42 5
101 78 10
21 57 16
125 100 9
101 70 7
138 28 10
99 70 8
2 92 11
133 85 1
40 106 6
84 134 11
12 76 8
157 151 5
55 117 8
49 59 5
22 92 16
77 87 4
93 88 17
69 62 19
99 101 8
14 80 16
128 145 15
57 144 9
97 94 10
79 142 12
25 59 18
157 136 18
42 124 13
18 88 12
29 144 5
108 131 10
149 35 2
134 144 19
123 53 15
2 74 15
61 83 3
92 124 6
57 148 13
40 130 3
67 158 8
102 120 3
32 135 20
71 143 18
123 125 10
93 132 18
17 136 19
37 24 1
80 140 10
51 126 20
104 151 14
3 148 1
153 22 9
71 146 8
110 7 20
151 99 19
148 11 13
132 47 4
68 23 7
43 127 13
138 73 9
131 75 5
85 123 10
124 35 11
147 41 9
65 153 19
76 147 20
18 6 14
94 58 16
63 78 10
31 91 16
1 93 15
123 12 2
54 130 16
94 43 13
22 3 17
98 132 17
148 150 20
3 139 10
58 43 3
93 73 5
101 127 3
89 146 10
42 41 8
37 30 6
63 51 10
138 45 20
96 34 11
60 36 11
135 93 10
129 28 14
56 24 7
74 112 6
158 49 6
109 139 7
102 97 3
151 130 13
16 68 16
30 23 9
79 53 8
12 23 1
125 132 4
153 48 3
64 101 19
69 51 19
103 48 3
84 40 5
108 56 16
62 139 12
104 59 2
81 124 16
35 91 16
116 139 3
100 99 7
132 9 15
94 8 12
99 91 11
129 94 12
122 51 5
33 155 3
154 77 17
35 8 19
48 19 7
4 119 7
60 146 8
116 82 3
61 76 7
46 100 20
35 117 3
109 149 15
34 40 11
82 74 4
116 122 9
26 125 19
89 81 20
2 38 15
134 99 14
147 93 12
105 39 5
149 139 20
30 108 3
104 29 4
121 127 11
141 81 5
6 51 19
35 45 5
128 84 9
63 53 12
155 27 18
32 138 20
139 122 15
67 86 8
49 62 4
62 138 14
112 29 18
156 125 16
135 51 18
29 82 18
56 158 11
89 51 15
53 155 10
11 63 19
148 7 12
78 68 2
121 75 2
40 72 6
87 48 2
92 131 10
94 28 15
22 12 11
143 118 13
10 129 19
120 118 9
29 91 17
130 53 5
101 93 13
92 75 20
134 9 12
49 102 1
67 19 7
85 3 6
99 12 12
71 27 16
49 110 4
45 81 7
116 24 17
100 11 9
27 40 13
139 88 18
119 50 3
7 30 5
13 128 11
42 94 13
31 39 12
111 83 13
139 40 4
101 35 2
33 116 2
132 96 3
69 110 9
129 13 12
88 79 6
112 120 7
58 151 9
114 157 4
92 137 11
147 79 4
54 7 9
55 34 10
144 103 11
20 127 7
29 110 7
15 139 13
61 41 12
59 80 3
91 1 9
65 64 4
71 30 5
105 91 16
103 157 7
71 132 1
23 26 1
139 94 19
51 50 17
22 4 19
138 94 3
84 158 10
138 71 5
88 71 1
23 15 7
31 139 20
67 57 12
115 38 13
143 88 7
54 6 12
98 143 10
142 123 19
91 102 1
123 31 9
141 107 19
157 137 4
43 99 8
8 110 9
66 94 19
16 43 20
24 140 14
71 123 10
13 109 3
80 127 17
58 109 19
105 108 7
10 7 5
119 78 20
54 132 14
97 33 19
132 130 5
97 34 9
101 92 18
124 127 4
74 5 20
77 74 11
122 83 1
124 30 6
97 59 20
25 111 20
155 25 2
84 55 12
17 61 1
39 20 11
44 137 13
13 123 5
95 11 12
33 31 11
24 23 11
8 48 1
123 44 15
126 23 10
71 39 2
140 78 9
20 17 15
134 29 3
108 19 11
98 51 19
12 74 8
39 135 5
71 153 4
128 120 16
81 33 18
148 14 13
26 33 13
144 62 13
122 12 5
60 5 11
29 16 1
20 108 13
58 21 16
139 44 1
138 124 13
17 9 20
28 34 4
108 73 18
113 90 17
135 149 5
104 19 12
42 38 2
10 95 14
77 129 15
2 108 6
12 21 16
36 102 17
145 105 11
54 59 12
132 90 2
56 89 9
154 26 14
151 35 3
10 112 17
124 9 17
45 20 7
28 109 4
44 150 8
28 45 17
101 19 2
6 74 10
88 123 9
158 11 3
38 140 7
46 16 11
120 70 10
124 67 17
115 65 6
2 121 6
74 4 8
43 133 9
62 25 4
72 55 13
146 93 7
80 34 20
59 49 20
118 15 2
63 129 16
88 26 6
56 99 17
83 38 9
39 99 9
49 12 12
63 157 6
113 79 19
21 33 4
156 150 6
95 54 6
153 38 2
14 147 12
37 71 17
141 5 15
58 53 13
83 12 1
115 88 12
147 25 13
139 80 16
88 56 6
125 3 13
9 102 5
79 81 10
138 53 11
86 37 7
97 20 8
117 30 7
52 73 2
143 53 13
66 36 10
141 3 20
71 11 2
92 144 8
95 19 12
51 104 9
89 97 18
64 55 5
22 106 13
5 144 5
79 135 17
135 151 14
41 6 19
80 153 1
98 90 17
44 10 7
140 57 16
90 134 3
91 124 12
131 63 17
23 37 11
6 67 17
59 3 4
45 137 10
21 76 8
47 15 5
57 50 12
130 139 11
120 126 14
11 98 14
23 16 20
94 100 5
97 36 13
75 19 13
46 92 17
61 125 11
110 56 8
145 120 20
112 99 14
51 37 13
66 64 14
141 158 11
115 150 4
134 120 15
68 7 4
103 121 18
35 73 3
151 113 10
124 66 3
107 12 1
9 77 18
134 113 7
43 70 18
144 99 15
146 110 2
108 25 15
76 50 7
30 89 18
149 69 14
2 139 3
133 11 8
87 143 4
52 5 4
150 143 9
54 26 18
59 30 17
49 105 18
26 32 3
149 140 5
25 152 19
35 139 13
74 11 5
78 26 14
116 42 15
142 64 10
13 110 18
13 47 5
43 126 8
118 116 5
90 37 8
90 71 7
18 144 1
156 117 6
24 75 11
102 112 14
135 124 13
5 32 1
13 129 9
156 88 4
19 73 12
32 4 19
80 75 4
138 127 19
117 150 11
34 147 4
13 124 7
48 24 4
78 36 8
22 33 13
32 105 3
77 33 20
42 109 17
54 100 7
87 142 10
100 107 8
43 130 11
120 7 11
38 94 3
69 40 18
145 126 17
76 134 13
4 17 17
100 70 18
122 53 20
23 152 6
138 90 4
128 51 6
126 88 15
111 52 9
104 39 4
4 10 5
45 67 15
35 62 19
125 25 3
94 47 12
11 26 11
58 49 9
112 17 13
154 23 2
132 126 14
132 25 11
52 69 15
97 104 10
53 124 6
115 59 12
66 69 15
106 127 2
38 134 10
112 25 2
80 53 7
139 26 1
104 131 2
134 69 5
122 17 8
133 27 14
87 92 8
119 39 2
96 77 17
89 84 16
158 5 6
36 40 3
151 39 15
72 68 14
96 31 12
139 60 1
82 42 2
147 56 11
77 152 3
35 136 10
18 136 7
107 13 14
63 59 6
150 130 17
43 67 10
110 47 9
46 24 6
128 13 15
90 143 2
78 19 4
95 37 13
13 143 15
24 102 16
73 93 15
102 75 2
44 19 16
122 58 3
134 48 20
14 32 19
32 151 7
122 89 14
3 93 5
104 102 14
35 68 12
5 49 9
77 76 18
30 22 13
77 57 10
108 11 6
154 114 19
79 19 3
78 16 16
11 48 6
78 77 2
127 150 4
98 81 17
120 146 8
72 119 13
137 124 1
146 43 2
112 121 12
8 41 18
120 51 5
107 25 4
153 47 3
62 40 19
110 124 15
71 38 17
90 106 12
28 154 5
149 61 20
85 38 11
31 117 8
109 10 18
155 52 3
37 16 17
91 22 6
113 146 12
59 131 17
46 1 16
144 45 19
42 129 18
4 1 10
127 110 9
86 2 18
107 92 18
77 25 17
67 137 14
94 92 20
122 33 18
146 73 16
72 114 2
89 117 7
119 86 2
53 13 13
143 15 9
40 146 19
116 54 13
75 43 8
125 150 7
39 75 6
48 75 11
117 145 12
11 54 16
49 122 4
142 109 14
99 58 19
69 100 18
129 2 12
16 48 12
90 62 13
6 60 5
84 72 3
9 136 2
103 27 14
86 10 2
142 5 2
94 73 17
137 97 18
43 112 18
40 44 11
85 103 18
135 29 13
67 91 6
107 35 10
56 121 10
9 158 14
20 93 20
131 71 3
24 35 1
121 47 3
66 14 1
94 156 1
80 14 3
115 109 18
131 110 19
130 11 12
118 39 2
84 109 10
93 28 6
37 149 5
11 110 20
69 99 20
35 20 13
108 134 7
131 106 11
137 7 14
17 138 18
125 145 4
49 29 2
39 13 14
14 142 17
48 3 1
51 137 20
24 138 2
82 111 20
88 96 19
122 111 7
108 114 13
32 153 11
42 4 9
25 116 19
82 133 15
60 8 8
93 9 16
99 146 17
37 142 10
43 1 20
53 119 7
47 14 13
41 55 8
151 134 11
47 57 15
152 12 2
121 158 10
68 153 2
157 85 19
104 127 15
105 75 4
34 122 15
60 4 1
89 50 2
129 97 8
79 7 12
79 91 18
127 4 12
53 112 15
21 63 10
96 28 11
113 110 4
12 38 4
115 154 14
107 9 11
92 88 10
94 62 2
5 30 3
22 82 6
88 156 12
155 147 13
151 155 20
156 62 20
91 19 1
155 125 9
45 59 16
154 152 11
37 52 2
135 73 5
29 56 3
38 107 5
21 153 6
62 151 7
141 83 7
57 79 4
36 124 14
101 15 9
124 52 18
71 82 12
154 110 5
130 44 11
94 64 16
55 21 14
132 4 8
122 114 5
79 149 2
94 146 20
52 7 13
61 131 3
38 126 6
125 97 15
1 33 14
30 141 3
105 10 20
105 132 9
25 106 16
18 42 19
129 147 1
84 50 11
66 141 7
53 3 13
138 4 11
127 87 2
137 88 11
46 34 6
100 136 11
37 32 7
25 92 16
128 124 7
111 124 16
9 13 19
12 91 7
153 152 18
82 15 7
115 8 17
122 107 2
92 39 9
140 64 4
60 87 10
98 93 13
31 102 9
155 113 8
144 3 19
111 84 1
19 94 1
154 57 1
66 42 18
85 111 10
24 46 15
109 147 3
1 155 2
144 158 13
96 83 5
115 19 5
6 75 6
8 119 9
97 12 6
49 15 11
94 83 11
136 120 8
133 57 3
132 51 7
56 8 9
128 42 14
99 49 7
59 17 6
44 9 17
113 112 17
101 47 12
144 79 1
137 53 3
61 26 18
125 7 19
8 96 15
111 89 9
127 26 2
32 132 8
143 148 16
85 89 7
5 149 5
57 4 18
136 121 16
9 87 15
9 148 18
3 100 8
1 123 15
96 50 10
41 34 10
86 118 12
117 19 15
21 75 20
144 107 2
140 11 4
142 73 1
31 75 15
113 129 17
115 66 2
145 2 17
6 87 20
113 99 14
3 16 3
54 1 15
121 36 15
12 19 13
137 139 12
107 33 16
68 134 10
123 6 5
51 153 4
46 3 16
61 35 20
115 15 16
151 5 16
65 121 8
10 99 14
121 101 16
31 10 19
144 39 6
34 2 15
133 124 14
144 138 10
32 38 5
150 158 4
56 152 17
18 94 4
48 157 14
82 26 15
120 158 6
121 72 14
87 47 19
73 86 9
94 117 4
58 4 2
15 59 11
157 77 9
146 20 5
11 101 7
127 116 6
64 78 19
145 61 11
34 133 12
60 122 10
19 21 4
136 89 16
89 87 10
31 128 4
129 138 16
95 2 8
60 65 17
97 106 7
75 139 3
35 94 2
110 112 12
31 144 16
11 128 18
66 158 5
119 43 8
20 4 4
12 109 11
141 89 5
17 24 19
126 31 10
157 70 6
9 39 15
128 92 12
7 116 13
115 130 12
94 149 5
129 57 19
69 39 3
100 109 14
80 76 8
83 128 4
40 32 20
91 2 10
150 62 5
146 18 8
81 7 6
73 31 2
15 100 20
99 95 20
48 16 16
136 152 19
81 34 15
118 124 8
89 11 19
71 156 12
24 133 10
22 101 4
129 116 9
117 56 17
54 158 6
121 135 2
54 111 5
18 70 6
37 55 4
117 21 3
110 99 15
5 120 4
34 144 7
113 102 10
73 156 7
103 14 13
126 121 7
24 34 5
153 124 19
80 82 13
112 87 15
119 91 2
68 21 16
28 133 7
97 101 12
8 45 2
106 12 2
157 89 12
15 83 5
85 58 1
121 12 5
152 130 16
39 93 8
70 120 10
45 112 18
70 119 11
5 121 20
61 15 19
150 29 15
46 113 1
78 129 10
39 18 17
40 57 9
61 22 20
110 120 11
101 86 2
33 144 4
135 46 16
63 37 2
73 137 4
141 56 2
116 148 16
62 29 18
100 89 15
153 94 3
2 37 8
23 123 19
60 99 3
57 3 5
136 130 7
11 8 5
14 124 6
115 62 7
99 111 13
35 17 18
125 62 16
89 38 9
30 10 17
86 19 6
57 5 10
119 47 4
84 133 16
6 89 14
82 29 18
153 63 4
120 29 1
6 118 16
108 43 14
5 24 8
90 135 8
28 95 5
33 74 7
126 133 7
19 57 15
22 51 14
95 66 20
83 139 11
125 58 19
149 49 4
21 148 11
115 32 1
30 48 7
4 48 17
114 131 17
121 126 17
88 38 4
122 8 4
75 86 12
123 150 10
112 82 8
40 47 7
87 33 11
31 37 16
57 117 10
16 134 19
98 63 14
1 26 20
29 100 15
100 64 14
34 71 16
81 110 18
54 93 18
84 19 14
69 75 19
114 144 14
126 137 14
72 138 17
79 8 6
13 107 11
151 140 9
54 117 7
57 66 19
146 149 15
9 113 19
147 123 4
102 144 18
119 57 5
111 31 20
105 94 10
140 111 13
98 79 5
5 35 14
49 9 16
4 57 9
22 90 18
7 101 9
118 146 19
148 143 3
33 143 8
122 125 14
106 64 14
146 69 16
69 117 12
55 16 18
29 37 15
104 98 2
36 57 13
79 46 15
61 133 4
32 96 18
114 44 5
11 85 13
101 50 14
94 104 15
144 28 8
20 131 1
51 63 17
15 37 10
18 97 18
59 128 6
12 137 1
82 148 15
117 90 6
110 79 5
14 64 8
9 138 9
101 30 7
91 99 5
23 116 13
86 70 10
11 135 18
158 56 2
143 25 19
63 152 3
23 147 5
56 11 20
85 149 2
25 7 14
36 15 4
105 47 2
81 111 1
139 110 6
50 94 16
17 52 3
51 128 10
93 25 12
78 110 5
154 30 1
93 66 18
14 66 16
76 43 4
10 23 3
103 72 6
62 142 5
69 88 3
64 23 11
123 100 12
15 149 4
126 138 3
147 151 12
110 122 18
25 27 10
49 129 10
62 87 15
22 155 13
110 114 19
32 24 15
77 13 18
156 102 7
107 120 16
27 146 6
75 117 15
32 99 1
107 95 5
113 50 3
19 23 15
96 11 9
109 20 12
71 17 1
103 19 16
102 100 11
100 54 20
49 148 5
145 75 3
61 12 4
107 16 1
104 141 12
45 85 2
104 15 11
101 114 1
81 109 3
3 27 14
43 155 9
104 62 12
106 78 12
106 114 15
150 40 17
149 55 19
92 64 19
147 131 9
98 31 1
91 87 15
73 129 1
119 128 11
28 130 8
85 77 11
150 68 20
136 112 12
88 45 20
74 88 10
58 127 3
144 140 11
10 44 19
34 10 10
5 107 13
135 1 2
129 51 16
58 150 7
131 79 16
9 55 1
50 13 14
60 56 4
147 120 14
151 68 18
23 69 19
120 57 17
12 140 6
57 67 20
31 20 17
85 31 20
48 80 12
45 35 17
36 23 14
103 69 14
118 91 14
22 52 10
54 118 1
39 16 19
155 47 17
17 131 3
68 74 4
131 14 7
91 50 7
67 152 4
110 8 8
117 29 20
22 137 9
120 17 4
127 67 2
153 83 15
51 46 12
82 18 16
148 109 1
133 71 8
132 22 11
117 138 16
50 55 18
100 16 6
8 142 9
15 136 5
153 82 15
157 60 20
120 49 10
28 23 18
141 50 9
158 63 16
45 8 8
122 108 10
57 115 7
49 94 10
26 120 4
85 5 1
30 107 10
106 120 6
52 155 5
114 64 11
121 82 14
70 115 15
63 105 9
155 13 11
81 72 11
110 20 20
58 139 17
109 135 14
118 95 4
134 18 10
100 28 16
21 54 18
106 40 3
14 130 11
85 94 5
104 67 6
139 32 2
11 91 1
105 80 6
18 67 13
99 112 8
88 73 7
128 147 18
99 143 3
89 91 20
86 82 5
151 14 5
151 94 3
11 56 7
5 10 14
53 71 14
125 133 1
9 50 5
152 52 17
138 158 20
26 139 1
30 131 11
7 124 8
35 30 9
109 88 14
147 141 20
10 3 12
158 12 14
38 5 9
111 142 16
130 63 11
126 147 5
82 49 10
81 83 3
136 87 19
41 129 9
125 34 3
128 33 14
77 71 20
80 77 2
142 111 11
26 14 3
74 93 1
52 98 12
35 32 17
59 2 1
30 21 14
3 91 13
80 63 20
52 60 20
59 129 1
126 71 7
114 93 8
107 93 16
138 29 15
35 89 13
9 14 7
20 16 8
72 149 20
150 43 6
3 101 14
39 122 16
45 77 18
157 26 12
144 59 2
32 94 12
12 156 2
13 17 7
158 88 6
103 133 10
108 135 2
83 70 13
78 10 19
112 8 8
79 152 5
129 25 18
108 37 15
101 49 13
6 102 12
59 46 17
50 154 17
141 132 14
91 52 14
13 59 7
119 33 18
21 3 5
16 111 15
62 107 19
124 112 4
127 135 9
18 28 11
46 147 17
150 51 17
