47 1575
1 2 11
2 3 2
3 4 2
4 5 17
5 6 4
6 7 6
7 8 19
8 9 11
9 10 6
10 11 18
11 12 6
12 13 19
13 14 9
14 15 3
15 16 8
16 17 8
17 18 3
18 19 10
19 20 18
20 21 20
21 22 7
22 23 7
23 24 10
24 25 20
25 26 4
26 27 10
27 28 5
28 29 9
29 30 18
30 31 15
31 32 12
32 33 8
33 34 9
34 35 5
35 36 17
36 37 12
37 38 2
38 39 15
39 40 14
40 41 8
41 42 12
42 43 11
43 44 18
44 45 12
45 46 13
46 47 17
39 19 6
32 36 4
12 2 15
39 5 19
12 39 14
40 39 2
41 43 5
30 44 18
10 35 8
45 34 13
21 25 19
28 10 17
40 21 4
35 12 13
18 2 19
39 42 12
19 14 2
29 43 17
4 6 8
19 29 18
22 29 6
23 9 2
11 28 20
27 41 3
26 11 16
16 2 5
44 20 19
47 27 19
47 30 13
34 28 10
7 28 13
30 3 11
16 40 8
47 45 6
1 45 3
29 41 4
1 3 7
12 15 13
45 42 2
30 23 6
12 4 16
6 22 16
6 19 1
6 20 6
3 36 20
22 2 16
24 14 14
9 4 12
9 1 5
26 30 9
46 20 16
10 26 12
38 10 3
9 15 19
27 43 8
27 17 13
27 19 4
38 6 12
37 15 7
31 40 4
5 18 16
12 3 3
21 20 4
41 35 20
46 40 10
23 30 16
23 20 15
3 29 16
37 34 3
23 16 8
34 18 10
7 16 5
20 5 18
2 24 10
26 22 6
21 23 1
1 46 17
41 27 6
32 42 1
40 18 5
6 30 1
14 16 4
30 35 3
29 37 6
7 19 11
30 6 6
7 12 7
33 26 4
27 25 14
23 40 4
6 3 10
21 29 5
8 12 17
23 44 18
17 30 16
10 38 15
29 44 1
20 8 13
43 34 6
12 36 15
33 41 4
26 32 17
28 8 6
44 37 2
32 6 8
39 2 8
11 9 13
7 21 10
18 9 4
29 28 19
27 46 19
22 25 6
45 5 20
18 27 6
5 1 3
32 7 14
19 28 20
18 46 10
21 33 3
27 32 13
1 35 10
24 39 9
41 18 14
3 7 1
29 34 1
36 24 9
42 47 3
28 46 11
39 45 19
2 11 1
36 47 13
6 21 14
2 19 3
8 22 9
20 34 2
23 18 2
1 40 3
8 14 4
5 36 13
15 11 3
15 36 4
14 33 1
47 32 14
45 19 15
20 36 17
46 7 11
43 31 18
9 46 16
45 16 4
34 1 13
1 38 3
33 29 16
18 7 7
9 31 14
43 3 1
45 2 18
8 23 17
5 31 12
36 5 11
15 40 9
31 19 19
13 9 14
45 31 2
28 2 13
10 9 4
37 47 6
12 22 17
21 42 3
28 9 4
47 24 10
19 33 7
3 45 2
4 22 12
40 28 20
2 37 16
9 5 13
28 16 7
4 16 12
11 43 7
1 21 8
31 18 19
11 21 6
46 24 13
44 16 4
17 29 18
47 40 5
14 10 2
3 5 8
4 12 11
6 1 5
5 26 8
12 30 10
8 25 9
38 25 20
1 19 10
46 42 7
38 24 11
21 35 1
26 15 6
9 40 5
12 40 8
43 36 6
40 9 8
46 33 19
9 23 2
27 22 3
39 26 11
24 34 15
26 45 8
45 39 2
24 10 16
19 5 10
15 23 13
9 21 19
44 8 7
8 34 13
11 25 12
3 2 16
12 6 17
14 3 6
2 26 18
32 45 3
3 38 9
21 34 2
28 20 6
39 24 10
20 4 17
31 9 5
44 38 11
25 42 8
35 18 3
16 9 11
23 12 6
39 28 13
3 28 3
42 38 11
9 13 16
5 46 13
22 34 14
9 28 12
21 2 17
6 10 4
39 32 20
20 38 2
14 28 4
1 20 20
17 35 12
15 17 16
27 13 11
7 11 6
9 6 19
18 35 11
33 5 7
4 24 4
33 37 13
34 17 3
45 33 6
13 26 5
29 31 17
6 37 13
15 5 5
26 33 4
21 19 2
41 9 18
21 9 7
2 39 3
45 9 19
24 18 10
12 19 7
39 8 3
20 12 5
40 20 11
20 11 5
26 17 4
13 21 8
4 45 17
8 26 8
6 14 9
25 47 11
27 38 12
16 37 4
4 29 20
29 2 15
42 6 2
46 32 18
40 23 12
39 27 18
9 16 6
45 17 10
26 6 14
2 4 19
35 27 7
43 5 8
35 23 18
30 15 10
4 23 13
19 46 12
37 3 11
15 9 16
13 25 10
17 33 13
31 46 5
5 41 4
13 7 9
17 15 16
26 44 4
29 15 7
28 30 13
41 23 18
33 46 19
44 19 7
42 19 13
35 47 19
1 34 13
21 16 16
19 22 13
40 15 5
27 44 4
12 21 14
34 39 12
5 42 15
19 42 14
45 38 12
2 9 18
15 27 6
3 6 19
31 43 18
42 29 19
44 7 5
7 4 8
24 31 19
41 44 15
32 4 5
19 32 8
25 27 7
19 26 9
39 7 7
16 27 18
2 30 5
25 39 16
19 35 2
29 38 6
47 22 6
24 27 12
33 2 13
37 14 8
22 13 2
17 28 9
20 29 3
4 7 17
4 43 10
42 3 9
13 1 12
16 47 7
28 37 3
34 27 16
42 4 6
34 30 9
9 14 11
11 2 5
32 14 13
34 11 18
16 23 3
41 10 11
30 12 3
35 13 11
38 22 4
11 34 5
34 42 3
30 5 2
40 37 19
4 8 16
5 20 16
14 38 12
