139 11282
1 2 4
2 3 9
3 4 4
4 5 15
5 6 20
6 7 7
7 8 13
8 9 12
9 10 7
10 11 3
11 12 11
12 13 10
13 14 10
14 15 19
15 16 18
16 17 8
17 18 13
18 19 7
19 20 6
20 21 3
21 22 10
22 23 5
23 24 7
24 25 8
25 26 6
26 27 2
27 28 14
28 29 10
29 30 1
30 31 8
31 32 6
32 33 16
33 34 16
34 35 9
35 36 2
36 37 7
37 38 15
38 39 14
39 40 10
40 41 13
41 42 9
42 43 20
43 44 2
44 45 18
45 46 10
46 47 19
47 48 5
48 49 2
49 50 18
50 51 10
51 52 17
52 53 7
53 54 6
54 55 3
55 56 6
56 57 4
57 58 16
58 59 19
59 60 13
60 61 8
61 62 6
62 63 10
63 64 16
64 65 13
65 66 11
66 67 17
67 68 11
68 69 17
69 70 3
70 71 20
71 72 10
72 73 11
73 74 19
74 75 11
75 76 8
76 77 20
77 78 2
78 79 13
79 80 2
80 81 19
81 82 14
82 83 10
83 84 17
84 85 20
85 86 12
86 87 15
87 88 3
88 89 20
89 90 13
90 91 7
91 92 7
92 93 11
93 94 16
94 95 14
95 96 15
96 97 18
97 98 11
98 99 6
99 100 15
100 101 13
101 102 5
102 103 4
103 104 3
104 105 16
105 106 6
106 107 10
107 108 7
108 109 7
109 110 14
110 111 8
111 112 17
112 113 20
113 114 9
114 115 6
115 116 19
116 117 13
117 118 20
118 119 13
119 120 12
120 121 4
121 122 11
122 123 10
123 124 14
124 125 18
125 126 4
126 127 9
127 128 16
128 129 6
129 130 6
130 131 10
131 132 10
132 133 2
133 134 5
134 135 4
135 136 9
136 137 10
137 138 13
138 139 16
116 96 15
124 88 4
87 78 16
103 18 7
71 30 8
122 81 3
34 84 8
131 59 17
116 103 12
6 10 17
117 125 15
108 19 4
55 106 11
19 69 14
9 49 7
48 32 9
92 114 7
6 106 17
2 82 12
119 136 16
134 24 8
15 41 16
122 95 6
77 113 17
49 121 3
99 29 7
91 30 1
76 36 9
119 86 5
85 65 5
11 109 9
110 123 7
89 106 14
82 92 5
5 2 18
75 100 13
126 100 19
13 36 9
54 65 19
86 10 13
115 21 14
27 40 8
119 128 11
26 71 13
95 124 6
95 59 20
83 95 13
101 107 13
14 71 6
62 17 15
35 131 14
116 19 14
90 137 4
31 72 8
63 27 2
6 32 14
48 114 17
100 75 3
49 138 1
61 109 7
83 4 16
35 29 10
27 118 3
56 58 9
16 120 15
9 35 8
110 83 4
117 92 20
51 1 18
5 111 16
25 103 18
37 48 5
66 123 9
52 39 7
60 54 5
53 111 6
29 82 3
77 108 8
60 19 4
91 73 18
139 97 4
52 43 14
131 19 6
9 70 15
84 129 16
49 42 2
138 119 11
130 105 7
74 26 15
67 26 5
32 25 7
9 76 15
82 117 12
89 125 12
93 118 11
11 27 16
88 75 13
108 65 11
