115 7786
1 2 5
2 3 3
3 4 7
4 5 11
5 6 12
6 7 4
7 8 6
8 9 10
9 10 16
10 11 11
11 12 12
12 13 8
13 14 18
14 15 14
15 16 13
16 17 2
17 18 5
18 19 10
19 20 9
20 21 18
21 22 9
22 23 12
23 24 8
24 25 10
25 26 17
26 27 13
27 28 7
28 29 9
29 30 8
30 31 9
31 32 5
32 33 4
33 34 3
34 35 11
35 36 7
36 37 14
37 38 7
38 39 12
39 40 3
40 41 14
41 42 14
42 43 14
43 44 2
44 45 3
45 46 19
46 47 14
47 48 4
48 49 3
49 50 15
50 51 12
51 52 12
52 53 15
53 54 15
54 55 20
55 56 5
56 57 3
57 58 12
58 59 11
59 60 11
60 61 11
61 62 11
62 63 16
63 64 15
64 65 14
65 66 18
66 67 13
67 68 7
68 69 16
69 70 16
70 71 10
71 72 10
72 73 9
73 74 15
74 75 11
75 76 11
76 77 14
77 78 16
78 79 6
79 80 8
80 81 2
81 82 10
82 83 20
83 84 16
84 85 4
85 86 11
86 87 12
87 88 19
88 89 2
89 90 14
90 91 1
91 92 4
92 93 5
93 94 8
94 95 18
95 96 18
96 97 6
97 98 2
98 99 4
99 100 1
100 101 17
101 102 13
102 103 10
103 104 17
104 105 8
105 106 12
106 107 7
107 108 13
108 109 19
109 110 5
110 111 12
111 112 20
112 113 14
113 114 11
114 115 16
32 13 19
102 39 13
88 63 17
85 107 14
55 11 9
8 27 2
84 94 1
63 62 5
96 101 16
21 91 19
93 25 11
51 11 17
105 98 6
31 68 4
86 24 4
110 31 1
103 17 6
58 79 9
57 59 5
29 96 5
77 73 14
40 26 2
41 15 4
6 63 1
94 50 10
78 44 2
105 31 8
12 105 11
95 63 2
66 92 7
13 53 7
81 109 7
79 34 3
43 39 12
73 35 7
29 14 7
16 20 3
35 31 17
18 10 7
59 76 3
80 88 7
76 70 11
114 34 9
69 76 20
102 50 6
53 79 19
65 111 3
9 47 3
57 64 19
53 7 4
25 87 6
84 64 3
4 63 11
89 33 18
98 19 12
43 72 7
18 38 4
12 63 11
19 4 9
70 74 1
63 115 4
46 83 12
98 86 4
85 60 18
32 59 2
28 4 13
5 21 2
108 33 19
45 68 4
29 22 12
36 102 9
14 32 16
55 31 17
61 115 3
98 31 1
39 75 1
68 96 17
36 106 6
66 35 18
100 80 17
108 115 13
1 13 16
92 85 8
55 47 7
94 46 14
76 102 20
62 71 1
23 25 7
57 49 18
22 95 13
38 29 3
68 11 1
37 23 7
100 51 15
30 11 8
16 46 9
104 78 18
95 100 4
53 41 7
111 79 19
80 2 2
32 69 5
110 7 14
11 106 10
23 37 10
110 70 2
45 58 14
64 37 8
107 106 6
100 3 16
73 82 9
92 114 17
6 10 15
74 20 12
95 59 9
12 53 18
88 114 5
29 79 13
68 70 8
33 72 1
94 29 2
57 5 7
106 27 16
62 3 8
9 114 16
107 10 1
79 55 20
43 102 12
14 24 10
85 64 15
16 88 8
20 109 10
64 25 7
77 64 19
68 91 19
13 90 8
84 19 2
70 32 17
110 78 17
7 48 2
43 41 3
106 82 1
73 75 7
22 79 9
14 47 8
103 111 8
23 4 17
71 26 19
34 17 9
37 40 1
23 99 13
33 90 2
93 47 13
115 85 3
22 10 2
17 112 11
21 54 7
46 24 10
79 52 6
20 12 16
3 46 8
109 64 12
58 42 11
27 114 11
27 20 10
30 54 8
56 74 11
54 21 16
85 1 17
70 12 7
1 36 18
64 38 10
7 55 11
6 45 4
25 61 19
95 74 16
84 90 7
53 107 3
89 11 5
3 50 20
55 82 5
92 56 2
32 73 4
93 19 10
39 92 20
14 54 4
104 102 18
95 77 13
8 6 5
74 67 5
57 76 3
112 109 11
86 32 19
104 14 19
97 73 7
22 86 17
30 91 6
9 88 17
77 112 12
48 70 18
57 11 20
77 24 16
12 11 14
40 115 2
25 113 9
6 20 7
75 66 4
15 75 18
31 36 14
69 100 20
57 24 10
97 99 16
88 9 4
112 6 5
20 42 3
111 108 18
10 67 16
57 4 1
27 103 1
84 46 9
107 82 16
91 15 18
100 102 1
15 115 8
24 36 5
33 31 2
1 57 20
48 15 20
38 41 19
75 26 12
54 18 13
14 10 2
98 109 15
75 8 7
9 81 3
57 97 13
113 98 2
13 102 20
70 111 1
96 67 19
15 6 4
41 75 18
51 14 12
75 102 14
8 111 19
8 52 18
105 66 15
37 95 4
23 50 19
83 47 17
99 61 7
12 101 11
40 36 2
43 12 18
86 20 15
112 27 3
4 33 19
10 86 18
3 108 19
106 93 10
79 76 12
41 104 19
93 45 4
44 88 3
114 58 17
63 71 5
81 91 19
66 101 2
13 103 19
27 111 8
103 91 3
10 16 12
33 11 11
109 54 5
81 69 15
89 34 10
25 114 1
108 81 13
64 93 17
30 21 4
104 9 10
7 35 12
30 67 2
97 77 13
22 42 1
38 32 14
107 56 14
54 66 19
101 31 19
55 77 11
3 66 6
42 72 15
114 3 9
97 1 10
19 22 14
27 76 15
73 106 13
23 11 1
70 9 5
32 45 12
97 105 1
70 102 1
72 50 2
72 91 8
111 76 14
71 93 5
40 50 2
80 89 18
105 43 3
69 74 19
52 72 9
77 26 17
2 97 13
24 71 18
81 83 1
66 55 18
100 112 9
44 76 2
96 65 6
58 35 12
82 86 3
112 48 4
30 49 17
112 89 19
54 71 1
106 21 13
3 23 19
81 66 16
34 63 20
30 22 11
1 5 16
60 18 20
13 47 19
97 43 9
20 114 15
43 104 20
5 107 2
95 89 14
30 8 1
46 37 10
96 54 14
18 113 7
103 11 3
23 9 16
31 28 6
110 87 9
95 108 7
3 87 16
109 18 8
46 63 1
5 60 14
84 78 1
78 109 4
86 81 4
16 51 19
102 27 5
29 83 15
22 101 14
68 65 14
89 10 7
57 104 20
23 53 17
17 41 10
114 76 2
67 89 18
93 115 4
102 29 19
69 67 16
97 36 20
11 10 19
92 83 7
1 25 9
58 26 7
19 42 10
9 61 2
26 77 6
71 60 4
39 45 15
75 94 20
101 55 4
68 3 6
58 21 5
98 78 5
22 113 6
11 24 9
93 66 15
80 21 19
3 59 10
22 18 8
52 20 9
92 88 9
27 47 14
4 30 18
103 51 8
31 78 6
19 72 16
100 36 13
108 38 16
62 60 16
11 13 5
32 6 7
55 32 19
98 35 20
5 40 17
42 87 19
4 7 1
31 106 6
78 115 11
69 61 17
111 88 4
40 4 11
97 22 17
34 16 9
73 77 7
44 2 3
67 97 13
57 15 8
56 85 6
18 1 3
105 61 12
15 85 7
53 44 12
85 24 14
59 65 4
10 46 9
83 77 16
40 46 13
57 46 15
64 106 6
91 18 18
77 10 15
22 51 10
45 67 17
107 27 8
112 54 11
75 21 2
90 61 13
12 19 10
66 82 6
79 74 5
106 36 19
70 57 17
21 4 20
35 12 3
112 8 11
39 83 19
26 74 16
75 86 4
54 53 3
41 16 11
46 23 8
76 93 5
59 15 8
108 66 19
86 80 13
18 3 15
86 28 16
1 102 11
67 58 10
99 98 16
106 45 8
34 6 2
18 64 19
22 74 14
37 44 8
59 61 11
66 49 15
31 49 14
98 115 8
102 115 10
24 106 10
84 24 17
22 58 15
90 79 8
11 17 18
108 75 16
110 42 11
101 92 4
3 84 3
2 75 16
107 111 9
32 37 16
106 44 12
69 8 2
102 33 20
79 20 11
5 55 9
77 40 20
32 42 18
89 44 10
55 52 10
5 101 19
92 91 2
39 62 16
110 48 8
76 11 7
54 33 16
72 11 3
67 42 14
46 16 4
100 87 3
52 108 8
40 85 13
88 8 16
28 19 19
18 112 16
9 50 20
72 6 5
76 89 7
104 37 19
78 38 17
5 89 9
49 30 3
68 19 2
34 47 8
64 81 19
104 106 18
20 80 4
109 106 8
