123 2616
1 2 17
2 3 8
3 4 2
4 5 15
5 6 4
6 7 19
7 8 11
8 9 2
9 10 18
10 11 4
11 12 5
12 13 13
13 14 6
14 15 1
15 16 20
16 17 13
17 18 8
18 19 19
19 20 10
20 21 4
21 22 2
22 23 1
23 24 14
24 25 19
25 26 15
26 27 5
27 28 19
28 29 20
29 30 5
30 31 5
31 32 2
32 33 13
33 34 12
34 35 3
35 36 8
36 37 16
37 38 13
38 39 18
39 40 9
40 41 11
41 42 14
42 43 5
43 44 15
44 45 19
45 46 6
46 47 14
47 48 12
48 49 13
49 50 12
50 51 13
51 52 8
52 53 5
53 54 13
54 55 13
55 56 16
56 57 19
57 58 18
58 59 14
59 60 11
60 61 2
61 62 19
62 63 12
63 64 7
64 65 10
65 66 6
66 67 14
67 68 17
68 69 18
69 70 3
70 71 5
71 72 20
72 73 16
73 74 10
74 75 14
75 76 7
76 77 7
77 78 19
78 79 18
79 80 19
80 81 3
81 82 2
82 83 18
83 84 7
84 85 6
85 86 11
86 87 14
87 88 4
88 89 8
89 90 8
90 91 14
91 92 1
92 93 18
93 94 17
94 95 7
95 96 19
96 97 2
97 98 12
98 99 16
99 100 12
100 101 7
101 102 12
102 103 11
103 104 14
104 105 13
105 106 17
106 107 20
107 108 19
108 109 7
109 110 9
110 111 9
111 112 9
112 113 10
113 114 19
114 115 8
115 116 15
116 117 1
117 118 1
118 119 11
119 120 20
120 121 20
121 122 16
122 123 12
118 70 19
47 81 2
123 47 8
109 76 20
35 112 6
40 20 15
44 83 2
35 90 14
85 77 14
103 65 2
92 84 9
73 16 5
76 62 18
71 93 11
59 93 4
78 46 6
80 54 15
46 19 14
42 89 1
107 31 11
110 61 7
122 11 4
11 6 11
7 119 10
81 54 2
71 52 20
25 8 3
12 97 7
4 15 17
98 41 20
80 71 11
75 69 5
5 79 7
76 6 3
80 6 18
10 77 8
28 21 20
99 32 6
109 35 20
41 52 2
89 52 5
74 3 18
113 7 12
76 2 18
35 82 6
90 11 10
116 82 16
26 57 18
76 42 15
60 2 5
84 10 8
99 84 2
102 116 14
60 68 15
67 22 13
122 111 9
7 103 7
35 49 9
14 44 20
71 103 10
57 106 16
93 81 10
52 102 8
59 39 9
68 25 2
78 66 10
99 72 18
120 26 19
75 39 18
35 30 6
119 86 17
89 98 6
63 26 12
28 85 17
61 72 19
36 27 3
41 45 10
25 84 3
101 79 11
96 113 13
114 108 13
114 116 7
71 55 19
50 83 4
110 63 16
114 98 18
60 15 19
77 83 5
119 103 17
120 118 14
26 108 17
18 98 10
27 89 5
104 58 19
20 88 16
50 78 4
26 15 6
46 91 18
26 87 11
85 3 2
52 28 10
47 45 9
44 32 3
102 76 10
66 102 12
63 102 15
120 37 4
88 54 17
94 93 19
96 4 15
123 22 19
88 100 4
78 21 13
92 42 13
2 27 8
4 89 19
31 86 2
103 93 15
78 106 9
99 121 5
49 40 2
45 47 8
31 2 3
103 110 5
6 21 20
14 76 2
19 87 14
31 29 15
56 107 15
53 107 20
13 6 8
59 47 6
103 28 1
116 7 9
50 55 16
