38 720
1 2 2
2 3 3
3 4 5
4 5 4
5 6 13
6 7 8
7 8 2
8 9 19
9 10 13
10 11 1
11 12 1
12 13 19
13 14 3
14 15 9
15 16 1
16 17 13
17 18 6
18 19 9
19 20 20
20 21 3
21 22 13
22 23 13
23 24 6
24 25 2
25 26 9
26 27 5
27 28 11
28 29 17
29 30 16
30 31 12
31 32 10
32 33 18
33 34 15
34 35 6
35 36 13
36 37 7
37 38 6
36 5 18
11 32 16
35 14 9
5 15 17
24 29 15
31 18 12
8 14 19
15 18 8
25 37 13
24 28 6
28 18 12
37 27 12
29 21 13
15 22 1
5 3 3
38 18 8
14 24 5
9 4 19
7 38 20
35 9 18
30 7 16
34 38 12
33 14 15
16 6 18
38 27 16
30 26 17
14 17 17
28 25 16
28 32 7
14 6 3
5 13 15
10 8 7
6 2 14
22 17 18
21 32 6
35 19 15
14 1 20
31 9 8
22 14 3
4 26 17
14 34 15
19 13 9
2 8 18
22 1 3
22 2 17
3 16 4
19 35 6
37 6 12
10 5 8
19 15 16
18 5 1
19 28 10
18 28 12
15 20 9
8 16 18
17 14 13
35 24 5
28 9 19
24 23 6
32 30 17
34 23 4
7 24 3
37 21 4
23 36 13
1 28 5
35 29 1
2 37 20
26 22 17
34 10 18
38 12 19
38 19 12
1 12 8
21 5 8
19 11 1
8 13 17
21 34 6
24 33 3
20 23 8
7 35 5
7 14 16
7 3 16
28 7 15
21 31 19
18 6 14
16 1 11
17 34 5
36 34 12
4 8 9
9 28 6
1 20 13
32 5 18
30 13 16
9 18 1
2 35 4
18 8 8
31 3 12
12 11 20
10 15 10
38 22 4
8 23 20
22 32 2
31 23 15
3 32 16
11 33 18
33 18 13
14 3 7
2 6 12
35 37 8
4 37 19
26 30 13
34 15 7
30 25 2
34 14 20
6 9 5
19 27 11
20 10 14
13 26 5
28 24 16
4 6 9
29 26 2
4 27 16
6 22 7
36 24 12
22 8 17
11 2 14
20 15 13
30 9 3
11 6 20
1 31 13
21 35 8
26 35 14
5 16 3
6 27 8
20 29 7
23 1 19
15 27 8
32 6 13
14 26 19
14 29 17
19 30 18
4 30 10
35 2 19
2 31 11
8 24 1
6 24 5
14 38 11
11 9 20
33 23 9
6 28 12
13 2 12
4 17 4
11 13 6
19 36 18
2 22 14
15 37 4
3 8 16
36 8 4
27 21 19
32 14 13
33 27 16
28 15 14
9 38 19
6 19 8
5 18 16
4 23 15
30 34 16
18 16 6
11 7 19
22 12 6
27 26 12
31 28 14
30 27 5
26 4 14
23 21 12
11 23 15
6 34 4
2 21 15
1 32 13
27 35 4
35 25 9
26 29 5
29 10 10
11 5 6
2 32 16
23 5 11
21 25 3
15 13 10
4 10 5
16 12 13
4 2 9
10 27 19
25 32 1
31 16 15
11 37 13
25 18 10
2 30 19
21 1 3
36 12 7
17 29 8
27 18 6
25 27 1
32 13 6
32 21 10
36 10 12
4 34 9
16 13 10
2 11 19
3 17 8
29 34 13
31 22 6
24 12 11
17 11 12
30 20 15
34 31 3
11 22 5
5 21 8
34 27 19
7 20 16
28 21 18
14 16 18
20 7 5
20 2 5
33 28 14
10 19 1
27 36 11
9 16 9
36 22 3
17 12 2
15 29 3
38 37 2
20 38 18
30 6 4
1 14 3
27 11 6
36 4 6
33 26 8
27 15 9
19 21 11
11 16 19
25 13 14
2 26 19
7 33 10
3 30 9
6 5 11
7 2 19
3 19 11
36 21 2
38 5 17
19 12 9
29 13 2
6 1 18
24 8 6
29 12 16
26 34 11
5 38 1
37 19 4
32 36 12
37 18 12
25 22 9
15 33 17
5 22 18
18 33 7
