173 1373
1 2 11
2 3 10
3 4 5
4 5 20
5 6 10
6 7 10
7 8 17
8 9 1
9 10 18
10 11 20
11 12 19
12 13 7
13 14 11
14 15 16
15 16 20
16 17 7
17 18 8
18 19 1
19 20 19
20 21 5
21 22 3
22 23 16
23 24 4
24 25 18
25 26 13
26 27 9
27 28 4
28 29 10
29 30 9
30 31 12
31 32 18
32 33 20
33 34 13
34 35 15
35 36 11
36 37 15
37 38 4
38 39 7
39 40 15
40 41 13
41 42 6
42 43 5
43 44 11
44 45 16
45 46 20
46 47 10
47 48 3
48 49 19
49 50 2
50 51 13
51 52 3
52 53 5
53 54 8
54 55 6
55 56 2
56 57 12
57 58 7
58 59 6
59 60 2
60 61 7
61 62 9
62 63 19
63 64 18
64 65 2
65 66 13
66 67 9
67 68 16
68 69 8
69 70 15
70 71 2
71 72 20
72 73 13
73 74 7
74 75 2
75 76 20
76 77 6
77 78 4
78 79 2
79 80 5
80 81 5
81 82 6
82 83 19
83 84 9
84 85 13
85 86 17
86 87 11
87 88 5
88 89 3
89 90 8
90 91 6
91 92 1
92 93 8
93 94 16
94 95 19
95 96 9
96 97 9
97 98 7
98 99 16
99 100 8
100 101 1
101 102 18
102 103 8
103 104 5
104 105 4
105 106 1
106 107 5
107 108 1
108 109 4
109 110 18
110 111 5
111 112 1
112 113 4
113 114 16
114 115 9
115 116 16
116 117 12
117 118 11
118 119 12
119 120 14
120 121 10
121 122 9
122 123 6
123 124 18
124 125 5
125 126 4
126 127 18
127 128 5
128 129 2
129 130 14
130 131 12
131 132 3
132 133 11
133 134 11
134 135 19
135 136 14
136 137 4
137 138 3
138 139 6
139 140 7
140 141 1
141 142 3
142 143 19
143 144 4
144 145 18
145 146 20
146 147 11
147 148 9
148 149 10
149 150 15
150 151 14
151 152 12
152 153 3
153 154 19
154 155 1
155 156 19
156 157 15
157 158 18
158 159 15
159 160 16
160 161 11
161 162 19
162 163 10
163 164 1
164 165 9
165 166 9
166 167 6
167 168 12
168 169 11
169 170 12
170 171 11
171 172 11
172 173 14
62 26 3
161 80 11
83 155 4
41 55 14
104 98 8
137 95 4
80 57 13
97 16 1
101 108 6
94 110 7
120 145 6
151 153 7
132 87 19
138 69 3
62 40 5
109 126 17
165 118 1
132 160 3
39 87 8
21 7 6
113 78 18
145 55 12
85 13 9
18 103 20
5 164 18
129 99 11
159 43 8
65 126 6
48 164 7
91 137 6
21 76 15
48 172 16
53 84 1
97 53 8
36 57 16
139 13 5
21 123 16
20 14 5
6 14 10
29 104 10
59 76 11
167 75 13
108 128 8
61 3 2
117 163 14
67 128 11
115 148 9
158 167 10
153 124 15
90 105 4
164 163 2
92 108 12
18 42 4
153 103 15
166 171 16
15 64 16
1 130 13
62 114 18
136 93 18
50 135 18
19 77 15
15 168 13
134 137 9
111 68 13
90 13 12
58 27 5
87 1 20
27 141 9
72 10 4
33 156 10
109 118 9
55 140 12
143 156 9
38 100 1
50 42 19
28 171 5
7 36 2
172 63 1
126 86 17
129 118 2
150 5 14
138 59 9
38 153 13
48 17 10
148 66 18
85 94 2
1 100 11
90 51 9
51 3 8
68 132 11
68 60 6
89 24 16
76 61 3
46 61 14
115 35 9
4 71 5
63 71 5
110 113 7
171 163 3
19 57 13
109 76 2
155 164 13
38 67 15
122 112 3
1 5 9
118 8 13
108 22 9
24 84 8
115 81 2
35 52 20
39 160 2
102 94 3
15 131 18
66 31 4
4 31 10
102 101 1
97 35 14
162 58 8
167 172 15
112 33 9
66 23 12
96 124 10
68 91 2
58 156 17
34 168 17
134 11 18
168 48 19
4 121 16
2 101 19
159 84 12
9 53 15
84 68 12
1 40 18
157 42 7
47 27 17
38 112 7
173 58 3
75 61 18
96 14 7
7 125 4
156 85 4
7 168 14
49 169 17
149 104 17
137 150 17
72 14 5
16 138 19
8 164 3
24 86 1
140 44 7
166 27 16
24 33 8
73 33 2
162 8 17
23 97 4
131 168 3
130 10 19
14 143 2
131 166 1
40 85 12
74 77 20
18 52 7
130 77 13
64 17 18
101 39 18
114 169 17
92 78 2
114 92 20
58 14 16
142 27 3
46 19 6
49 167 7
125 2 10
93 143 8
131 158 2
79 168 17
156 14 11
150 79 18
101 136 5
91 105 15
59 102 13
92 150 2
81 54 2
134 146 12
67 56 20
113 134 4
29 68 1
56 44 7
1 144 18
132 13 18
21 71 3
100 162 19
173 22 5
152 155 16
99 48 19
31 112 11
82 141 9
146 23 20
67 149 19
172 59 18
111 79 6
27 6 10
169 130 15
18 108 10
89 159 8
91 16 16
129 50 4
110 22 2
85 89 18
156 39 4
18 149 8
123 127 5
169 74 4
63 91 12
64 132 7
64 49 20
2 4 15
81 65 12
86 102 20
66 36 5
56 53 8
173 2 13
26 171 16
9 60 15
99 75 4
126 138 2
168 140 3
87 172 17
152 36 2
132 101 17
102 156 11
172 108 9
23 85 1
73 93 13
40 143 5
138 95 14
63 90 10
116 128 17
61 106 16
59 16 16
92 69 20
4 67 8
43 42 4
78 114 2
173 153 19
122 117 15
160 131 15
116 73 1
70 86 8
11 144 15
52 15 6
27 143 13
62 137 15
8 42 20
171 41 14
83 114 8
138 52 15
12 167 9
82 120 10
5 21 14
144 114 10
65 101 13
29 129 19
70 49 6
62 73 16
128 40 20
6 137 18
125 86 9
139 119 20
164 75 5
18 170 15
72 62 18
139 42 6
165 63 14
141 76 6
