182 12543
1 2 16
2 3 10
3 4 4
4 5 1
5 6 4
6 7 1
7 8 1
8 9 8
9 10 8
10 11 18
11 12 11
12 13 19
13 14 7
14 15 9
15 16 9
16 17 2
17 18 9
18 19 6
19 20 18
20 21 3
21 22 19
22 23 12
23 24 18
24 25 12
25 26 10
26 27 3
27 28 1
28 29 12
29 30 6
30 31 10
31 32 14
32 33 1
33 34 11
34 35 9
35 36 13
36 37 6
37 38 9
38 39 5
39 40 5
40 41 16
41 42 3
42 43 7
43 44 14
44 45 9
45 46 16
46 47 15
47 48 11
48 49 4
49 50 12
50 51 20
51 52 18
52 53 11
53 54 12
54 55 7
55 56 14
56 57 13
57 58 10
58 59 14
59 60 4
60 61 7
61 62 15
62 63 9
63 64 19
64 65 17
65 66 18
66 67 3
67 68 3
68 69 6
69 70 8
70 71 19
71 72 14
72 73 10
73 74 6
74 75 19
75 76 18
76 77 1
77 78 13
78 79 20
79 80 16
80 81 5
81 82 20
82 83 5
83 84 7
84 85 3
85 86 11
86 87 20
87 88 7
88 89 20
89 90 6
90 91 11
91 92 18
92 93 12
93 94 19
94 95 8
95 96 9
96 97 8
97 98 11
98 99 3
99 100 14
100 101 18
101 102 1
102 103 19
103 104 19
104 105 18
105 106 17
106 107 16
107 108 18
108 109 2
109 110 8
110 111 5
111 112 18
112 113 19
113 114 9
114 115 16
115 116 13
116 117 20
117 118 15
118 119 19
119 120 11
120 121 12
121 122 9
122 123 1
123 124 4
124 125 20
125 126 8
126 127 4
127 128 7
128 129 10
129 130 6
130 131 12
131 132 7
132 133 18
133 134 10
134 135 5
135 136 16
136 137 7
137 138 13
138 139 5
139 140 20
140 141 20
141 142 10
142 143 17
143 144 10
144 145 10
145 146 4
146 147 2
147 148 9
148 149 10
149 150 20
150 151 12
151 152 2
152 153 1
153 154 12
154 155 17
155 156 20
156 157 11
157 158 20
158 159 18
159 160 13
160 161 17
161 162 10
162 163 19
163 164 14
164 165 19
165 166 16
166 167 9
167 168 17
168 169 20
169 170 6
170 171 8
171 172 11
172 173 15
173 174 16
174 175 20
175 176 4
176 177 19
177 178 1
178 179 5
179 180 9
180 181 20
181 182 8
14 148 11
114 137 1
53 57 13
3 48 4
54 148 11
35 59 2
136 80 12
74 82 11
65 110 3
39 108 2
142 121 14
6 106 16
73 158 4
23 32 13
22 140 13
138 174 9
37 127 4
136 72 15
26 136 5
98 175 14
88 134 5
