155 4199
1 2 7
2 3 4
3 4 2
4 5 2
5 6 19
6 7 7
7 8 10
8 9 4
9 10 20
10 11 9
11 12 1
12 13 16
13 14 3
14 15 14
15 16 5
16 17 1
17 18 8
18 19 13
19 20 17
20 21 1
21 22 7
22 23 11
23 24 14
24 25 2
25 26 14
26 27 13
27 28 18
28 29 3
29 30 2
30 31 16
31 32 4
32 33 8
33 34 19
34 35 5
35 36 1
36 37 10
37 38 4
38 39 11
39 40 13
40 41 3
41 42 19
42 43 13
43 44 19
44 45 13
45 46 6
46 47 15
47 48 13
48 49 5
49 50 7
50 51 9
51 52 6
52 53 5
53 54 11
54 55 11
55 56 18
56 57 16
57 58 16
58 59 15
59 60 11
60 61 17
61 62 11
62 63 14
63 64 4
64 65 9
65 66 18
66 67 4
67 68 18
68 69 13
69 70 14
70 71 2
71 72 16
72 73 4
73 74 14
74 75 6
75 76 17
76 77 12
77 78 20
78 79 9
79 80 16
80 81 18
81 82 10
82 83 1
83 84 14
84 85 12
85 86 4
86 87 12
87 88 20
88 89 19
89 90 6
90 91 10
91 92 15
92 93 8
93 94 3
94 95 18
95 96 9
96 97 12
97 98 13
98 99 18
99 100 5
100 101 19
101 102 20
102 103 12
103 104 2
104 105 13
105 106 9
106 107 18
107 108 4
108 109 8
109 110 19
110 111 12
111 112 17
112 113 20
113 114 4
114 115 10
115 116 3
116 117 7
117 118 13
118 119 2
119 120 5
120 121 19
121 122 3
122 123 11
123 124 6
124 125 17
125 126 20
126 127 14
127 128 1
128 129 13
129 130 12
130 131 5
131 132 11
132 133 3
133 134 8
134 135 4
135 136 15
136 137 8
137 138 14
138 139 11
139 140 7
140 141 4
141 142 2
142 143 3
143 144 3
144 145 5
145 146 4
146 147 17
147 148 4
148 149 17
149 150 11
150 151 20
151 152 7
152 153 13
153 154 11
154 155 4
100 70 10
45 37 13
146 104 15
60 3 9
117 126 11
153 4 12
147 93 9
35 59 4
108 136 3
19 104 5
68 15 15
52 26 8
89 138 12
113 9 11
23 92 3
154 89 18
137 47 15
97 81 20
105 34 8
55 19 16
104 86 17
68 104 19
38 74 1
46 81 9
137 58 19
37 5 20
83 11 2
130 42 18
130 54 17
149 136 1
46 77 10
150 132 7
153 14 7
81 59 17
64 7 1
134 43 10
63 92 17
56 34 4
154 8 17
117 123 18
29 136 6
131 97 13
112 94 8
101 19 12
47 49 13
18 27 8
114 57 9
66 112 2
26 77 2
72 6 11
66 34 6
104 9 7
118 88 8
145 33 8
43 46 17
103 30 15
50 144 11
55 21 10
94 46 8
107 117 3
87 150 19
48 98 4
71 27 6
155 16 15
103 26 8
66 128 12
77 68 3
97 4 11
142 16 12
71 1 16
32 19 5
96 12 20
122 60 7
137 106 9
129 43 11
101 10 7
89 53 6
132 150 14
79 136 2
133 18 12
118 49 20
117 144 3
153 110 12
34 59 20
17 32 2
154 133 8
36 66 16
106 9 5
25 88 12
48 65 5
104 149 15
145 110 9
42 74 10
121 108 20
150 91 2
33 90 1
81 125 13
26 42 2
87 33 1
95 80 2
121 150 20
41 139 11
71 148 14
55 80 8
65 41 9
10 58 8
134 42 10
142 35 8
20 115 18
99 38 3
94 109 3
44 134 3
3 45 5
82 62 14
122 15 16
40 146 10
4 91 16
116 78 16
3 97 7
107 7 20
55 67 15
9 111 9
34 113 8
113 7 6
68 128 13
95 134 8
24 105 9
116 32 11
121 1 9
20 108 20
111 129 17
155 104 7
145 137 6
24 61 2
120 128 12
42 67 15
109 57 16
112 18 12
4 105 3
147 91 17
142 46 5
48 13 13
31 2 17
93 26 7
40 145 2
48 31 15
34 106 17
125 30 6
58 33 5
25 147 6
66 100 18
47 114 5
10 144 7
43 48 14
136 87 8
47 101 5
114 135 20
82 104 6
67 6 1
123 153 12
115 30 3
120 77 6
14 53 11
32 95 3
75 42 17
74 89 2
103 14 6
50 95 16
25 128 4
122 62 11
55 22 5
87 141 3
77 121 5
22 153 11
137 39 8
28 113 8
19 27 6
112 76 2
152 68 1
132 1 7
109 56 18
116 142 15
43 31 3
145 19 15
30 155 20
112 27 14
61 13 1
56 124 3
79 87 7
74 31 13
131 139 15
20 99 3
17 109 3
134 98 9
60 127 18
24 51 20
68 111 19
105 134 9
62 57 5
54 98 7
13 73 1
27 59 6
116 75 14
81 53 1
64 112 18
46 103 15
22 15 15
10 119 20
88 147 19
65 12 11
38 146 15
28 139 8
84 100 10
92 25 9
43 88 1
87 133 20
26 122 4
42 98 9
37 153 17
