65 1761
1 2 12
2 3 12
3 4 3
4 5 18
5 6 2
6 7 17
7 8 10
8 9 10
9 10 17
10 11 20
11 12 7
12 13 16
13 14 14
14 15 8
15 16 3
16 17 1
17 18 16
18 19 13
19 20 14
20 21 8
21 22 3
22 23 6
23 24 16
24 25 15
25 26 8
26 27 13
27 28 15
28 29 10
29 30 16
30 31 3
31 32 20
32 33 19
33 34 15
34 35 14
35 36 16
36 37 8
37 38 10
38 39 17
39 40 17
40 41 6
41 42 8
42 43 3
43 44 13
44 45 2
45 46 3
46 47 16
47 48 14
48 49 18
49 50 20
50 51 7
51 52 5
52 53 2
53 54 5
54 55 13
55 56 9
56 57 4
57 58 5
58 59 15
59 60 13
60 61 12
61 62 17
62 63 4
63 64 3
64 65 3
57 20 11
27 61 6
37 59 7
9 16 12
31 20 19
57 19 15
4 52 18
36 38 3
49 19 6
36 52 3
58 17 13
46 45 8
11 16 8
5 24 3
36 56 10
46 48 18
25 53 6
43 25 8
55 9 18
57 46 19
51 38 2
33 18 12
11 31 14
48 35 8
38 7 5
47 55 7
9 14 2
26 58 1
13 49 9
20 41 12
16 26 6
29 61 19
20 8 11
29 55 17
63 29 8
22 10 7
18 27 10
12 47 14
63 13 16
40 24 16
65 9 9
62 14 6
4 49 16
61 55 5
24 5 6
34 8 18
55 27 19
37 41 13
30 38 15
45 12 20
10 13 10
6 10 11
21 13 1
3 8 16
47 32 2
49 2 6
17 58 18
12 29 20
54 59 17
45 40 20
61 52 12
21 57 18
63 14 6
23 16 10
40 62 13
61 47 19
27 63 17
21 10 7
55 65 20
63 45 15
17 42 18
48 62 14
26 59 4
18 17 19
32 50 14
13 20 7
13 48 9
24 40 18
23 26 15
43 46 4
25 44 9
52 40 12
6 58 10
23 50 8
9 40 13
28 56 20
13 29 8
52 58 7
12 19 11
64 61 18
64 23 13
3 11 12
24 17 6
16 41 6
38 49 10
48 61 12
13 5 18
6 39 17
26 11 2
24 28 10
48 25 7
60 64 16
11 29 18
53 44 15
38 36 9
51 18 1
12 32 1
27 37 11
53 65 11
16 25 8
40 7 9
2 1 14
54 14 13
56 1 8
32 39 5
20 26 14
8 39 6
63 2 19
30 56 8
57 7 6
65 37 14
3 1 9
16 60 9
18 34 7
56 44 14
18 7 1
57 2 20
60 36 9
51 5 8
56 64 6
36 63 4
21 65 16
59 17 20
24 35 16
